pose,start,finish_time,goal_state
"[651, 197]",1515860835.080709,1515860856.429925,4
"[651, 198]",1515860868.438879,1515860889.787883,4
"[651, 199]",1515860901.798054,1515860923.146599,4
"[651, 200]",1515860935.155345,1515860956.502714,4
"[651, 201]",1515860968.511828,1515860989.860844,4
"[651, 202]",1515861001.871058,1515861023.219764,4
"[651, 203]",1515861035.227517,1515861056.575981,4
"[651, 204]",1515861068.584512,1515861089.933549,4
"[651, 205]",1515861101.942187,1515861123.29064,4
"[651, 206]",1515861135.298825,1515861156.649415,4
"[651, 207]",1515861168.658127,1515861190.008514,4
"[651, 208]",1515861202.018174,1515861223.368469,4
"[651, 209]",1515861235.376727,1515861256.726796,4
"[651, 210]",1515861268.737478,1515861290.087559,4
"[651, 211]",1515861302.09739,1515861323.448422,4
"[651, 212]",1515861335.458121,1515861356.80857,4
"[651, 213]",1515861368.818069,1515861390.167973,4
"[651, 214]",1515861402.175446,1515861423.523344,4
"[651, 215]",1515861435.531327,1515861456.880449,4
"[651, 216]",1515861468.891756,1515861490.240822,4
"[651, 217]",1515861502.253193,1515861523.603348,4
"[651, 218]",1515861535.614612,1515861556.964181,4
"[651, 219]",1515861568.972295,1515861590.320812,4
"[651, 220]",1515861602.328709,1515861623.678973,4
"[651, 221]",1515861635.689439,1515861657.039343,4
"[651, 222]",1515861669.04822,1515861690.397875,4
"[651, 223]",1515861702.406071,1515861723.418126,4
"[651, 224]",1515861735.428727,1515861756.779144,4
"[651, 225]",1515861768.788466,1515861790.137471,4
"[651, 226]",1515861802.147383,1515861823.498018,4
"[651, 227]",1515861835.51056,1515861856.858556,4
"[651, 228]",1515861868.86346,1515861890.21285,4
"[651, 229]",1515861902.222585,1515861923.573076,4
"[651, 230]",1515861935.582107,1515861956.931005,4
"[651, 231]",1515861968.941754,1515861990.291966,4
"[651, 232]",1515862002.302039,1515862023.313991,4
"[651, 233]",1515862035.322734,1515862056.671711,4
