pose,start,finish_time,goal_state
"[184, 454]",1515328264.095364,1515328290.132268,3
"[184, 455]",1515328302.140382,1515328323.402391,4
"[184, 456]",1515328335.409611,1515328368.756919,3
"[184, 457]",1515328380.764846,1515328407.102779,3
"[184, 458]",1515328419.111544,1515328443.14592,3
"[184, 459]",1515328455.154014,1515328478.852726,3
"[184, 460]",1515328490.86072,1515328512.19515,3
"[184, 461]",1515328524.205114,1515328558.217928,3
"[184, 462]",1515328570.225045,1515328589.561328,3
"[184, 463]",1515328601.572286,1515328619.262369,3
"[184, 464]",1515328631.268891,1515328648.609245,3
"[184, 465]",1515328660.618142,1515328677.306319,3
"[184, 466]",1515328689.311646,1515328705.651258,3
"[184, 467]",1515328717.659176,1515328736.99541,3
"[184, 468]",1515328749.003592,1515328767.344538,3
"[184, 469]",1515328779.355256,1515328796.696301,3
"[184, 470]",1515328808.706046,1515328826.732091,3
"[184, 471]",1515328838.741049,300.0,1
"[184, 472]",1515329150.752195,300.0,1
"[184, 473]",1515329462.760781,300.0,1
"[184, 474]",1515329774.769695,1515329793.10544,3
"[184, 475]",1515329805.115095,1515329814.861169,4
"[184, 476]",1515329826.871293,1515329848.203544,4
"[184, 477]",1515329860.211893,1515329888.215777,3
"[184, 478]",1515329900.224692,1515329932.572764,3
"[184, 479]",1515329944.58067,1515329991.249874,3
"[184, 480]",1515330003.257051,1515330024.95322,3
"[184, 481]",1515330036.96399,1515330066.639426,3
"[184, 482]",1515330078.647273,300.0,1
"[184, 483]",1515330390.65627,300.0,1
"[184, 484]",1515330702.6662,300.0,1
"[184, 485]",1515331014.67353,300.0,1
"[184, 486]",1515331326.683034,300.0,1
"[184, 487]",1515331638.694212,1515331712.704435,3
"[184, 488]",1515331724.712928,1515331744.742473,3
"[184, 489]",1515331756.750999,1515331775.085895,3
"[184, 490]",1515331787.095018,1515331805.43701,3
"[184, 491]",1515331817.445028,1515331836.135893,3
"[184, 492]",1515331848.145878,1515331868.482748,3
"[184, 493]",1515331880.488509,1515331890.133879,4
"[184, 494]",1515331902.14065,1515331911.684975,4
"[184, 495]",1515331923.697199,1515331933.310349,4
"[184, 496]",1515331945.319016,1515331954.964168,4
"[184, 497]",1515331966.972496,1515331976.517451,4
"[184, 498]",1515331988.526077,1515331998.139863,4
"[184, 499]",1515332010.144825,1515332031.475811,4
"[184, 500]",1515332043.483056,1515332075.162032,3
"[184, 501]",1515332087.172748,1515332113.175045,3
"[184, 502]",1515332125.184004,1515332151.185883,3
"[184, 503]",1515332163.197664,1515332187.896445,3
"[184, 504]",1515332199.904107,1515332221.066852,4
"[184, 505]",1515332233.077917,1515332242.692176,4
"[184, 506]",1515332254.700768,1515332264.244864,4
"[184, 507]",1515332276.254192,1515332285.767337,4
"[184, 508]",1515332297.7759,1515332307.420528,4
"[184, 509]",1515332319.431055,1515332329.076503,4
"[184, 510]",1515332341.083015,1515332362.44618,4
"[184, 511]",1515332374.456148,1515332392.144948,3
"[184, 512]",1515332404.152999,1515332421.842178,3
"[184, 513]",1515332433.850424,1515332465.861432,3
"[184, 514]",1515332477.86951,1515332499.201667,4
"[184, 515]",1515332511.211386,1515332520.755958,4
"[184, 516]",1515332532.763462,1515332598.462703,3
"[184, 517]",1515332610.473606,1515332641.4843,3
