pose,start,finish_time,goal_state
"[652, 192]",1515861044.060233,1515861065.409347,4
"[652, 193]",1515861077.419053,1515861098.432277,4
"[652, 194]",1515861110.442057,1515861131.789845,4
"[652, 195]",1515861143.801921,1515861165.150853,4
"[652, 196]",1515861177.160187,1515861198.509909,4
"[652, 197]",1515861210.518088,1515861231.867985,4
"[652, 198]",1515861243.876034,1515861265.224217,4
"[652, 199]",1515861277.234073,1515861298.583839,4
"[652, 200]",1515861310.594519,1515861331.943112,4
"[652, 201]",1515861343.950305,1515861365.299766,4
"[652, 202]",1515861377.306778,1515861398.656772,4
"[652, 203]",1515861410.667676,1515861432.016903,4
"[652, 204]",1515861444.026776,1515861465.376462,4
"[652, 205]",1515861477.384924,1515861498.734307,4
"[652, 206]",1515861510.745731,1515861532.096044,4
"[652, 207]",1515861544.105212,1515861565.45278,4
"[652, 208]",1515861577.460513,1515861598.810633,4
"[652, 209]",1515861610.819231,1515861632.16857,4
"[652, 210]",1515861644.180875,1515861665.530243,4
"[652, 211]",1515861677.539447,1515861698.889957,4
"[652, 212]",1515861710.896719,1515861732.246049,4
"[652, 213]",1515861744.255843,1515861765.605138,4
"[652, 214]",1515861777.610858,1515861798.960989,4
"[652, 215]",1515861810.970592,1515861832.320314,4
"[652, 216]",1515861844.329941,1515861865.680301,4
"[652, 217]",1515861877.692046,1515861899.040994,4
"[652, 218]",1515861911.048017,1515861932.397828,4
"[652, 219]",1515861944.407742,1515861965.755642,4
"[652, 220]",1515861977.764285,1515861999.113447,4
"[652, 221]",1515862011.122924,1515862032.471248,4
"[652, 222]",1515862044.482495,1515862065.831791,4
"[652, 223]",1515862077.841655,1515862099.191708,4
"[652, 224]",1515862111.202083,1515862132.55194,4
"[652, 225]",1515862144.563362,1515862165.910395,4
"[652, 226]",1515862177.920252,1515862199.270149,4
"[652, 227]",1515862211.282281,1515862232.63149,4
"[652, 228]",1515862244.641572,1515862265.654216,4
"[652, 229]",1515862277.667609,1515862299.017797,4
"[652, 230]",1515862311.02952,1515862332.379013,4
"[652, 231]",1515862344.386846,1515862365.73695,4
"[652, 232]",1515862377.747464,1515862399.095277,4
"[652, 233]",1515862411.105109,1515862432.453962,4
"[652, 234]",1515862444.466367,1515862465.815983,4
"[652, 235]",1515862477.826099,1515862499.175262,4
"[652, 236]",1515862511.187437,1515862532.537187,4
"[652, 237]",1515862544.548405,1515862565.897556,4
"[652, 238]",1515862577.905394,1515862598.918475,4
"[652, 239]",1515862610.923389,1515862632.273052,4
"[652, 240]",1515862644.282128,1515862665.629794,4
"[652, 241]",1515862677.63857,1515862698.986071,4
"[652, 242]",1515862710.994063,1515862732.342543,4
"[652, 243]",1515862744.349075,1515862765.360711,4
"[652, 244]",1515862777.368772,1515862798.717704,4
"[652, 245]",1515862810.727934,1515862832.07536,4
"[652, 246]",1515862844.086669,1515862865.434265,4
"[652, 247]",1515862877.443887,1515862898.792562,4
"[652, 248]",1515862910.801323,1515862932.149363,4
"[652, 249]",1515862944.158279,1515862965.504606,4
"[652, 250]",1515862977.517586,1515862998.86494,4
"[652, 251]",1515863010.870475,1515863032.218685,4
"[652, 252]",1515863044.228293,1515863065.576791,4
"[652, 253]",1515863077.583424,1515863098.928297,4
"[652, 254]",1515863110.936668,1515863132.285623,4
"[652, 255]",1515863144.294329,1515863165.641278,4
"[652, 256]",1515863177.654018,1515863198.663569,4
"[652, 257]",1515863210.671386,1515863232.019154,4
"[652, 258]",1515863244.027415,1515863265.038306,4
"[652, 259]",1515863277.051993,1515863298.401268,4
"[652, 260]",1515863310.407886,1515863331.755786,4
"[652, 261]",1515863343.764027,1515863365.111942,4
"[652, 262]",1515863377.120299,1515863398.468738,4
"[652, 263]",1515863410.478578,1515863431.826715,4
"[652, 264]",1515863443.836602,1515863465.184493,4
"[652, 265]",1515863477.192594,1515863498.203093,4
"[652, 266]",1515863510.211645,1515863531.559887,4
"[652, 267]",1515863543.568394,1515863564.58067,4
"[652, 268]",1515863576.588194,1515863597.934705,4
"[652, 269]",1515863609.943878,1515863631.292496,4
"[652, 270]",1515863643.300134,1515863664.648766,4
"[652, 271]",1515863676.659637,1515863698.006783,4
"[652, 272]",1515863710.016638,1515863731.364829,4
"[652, 273]",1515863743.375382,1515863764.723403,4
"[652, 274]",1515863776.733704,1515863798.082354,4
"[652, 275]",1515863810.090076,1515863831.438311,4
"[652, 276]",1515863843.447998,1515863864.796766,4
"[652, 277]",1515863876.803504,1515863898.151557,4
