,actions,next_state,start,positions,rewards,possibility
419.701641064,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[6625.7171906003769, 2003.1661353987602, 172.895260524257, 419.7016410638368, 419.7016410638368, 419.7016410638368, 7.6979225756947987, 2031.047434591293, 419.7016410638368]",171,"[172.0, 192.0, 191.0, 171.0, 171.0, 171.0, 151.0, 152.0, 171.0]","[38.84642003620543, 11.744514723386716, 1.0136807411766189, -100.0, -100.0, -100.0, 0.045132734340949422, 11.907982107887339, 2.4607005958208101]","[1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0]"
6625.7171906,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[55.719941397854782, 37.371514276898729, 2003.1661353987602, 172.895260524257, 419.7016410638368, 7.6979225756947987, 2031.047434591293, 474.96445462930023, 6625.7171906003769]",172,"[173.0, 193.0, 192.0, 191.0, 171.0, 151.0, 152.0, 153.0, 172.0]","[0.32668467211436841, 0.21910828657899728, 11.744514723386716, 1.0136807411766189, 2.4607005958208101, 0.045132734340949422, 11.907982107887339, 2.7847051384825496, 38.84642003620543]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
55.7199413979,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[156.18769218418097, 355.62271007327661, 37.371514276898729, 2003.1661353987602, 6625.7171906003769, 2031.047434591293, 474.96445462930023, 9.5300407368770106, 55.719941397854782]",173,"[174.0, 194.0, 193.0, 192.0, 172.0, 152.0, 153.0, 154.0, 173.0]","[0.91572467108613109, 2.0850073693936846, 0.21910828657899728, 11.744514723386716, 38.84642003620543, 11.907982107887339, 2.7847051384825496, 0.05587439891821392, 0.32668467211436841]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
156.187692184,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[15.33553335107414, 2739.4306805530214, 355.62271007327661, 37.371514276898729, 55.719941397854782, 474.96445462930023, 9.5300407368770106, 268.57105799056978, 156.18769218418097]",174,"[175.0, 195.0, 194.0, 193.0, 173.0, 153.0, 154.0, 155.0, 174.0]","[0.089911862051733918, 16.061215988481994, 2.0850073693936846, 0.21910828657899728, 0.32668467211436841, 2.7847051384825496, 0.05587439891821392, 1.5746256334439763, 0.91572467108613109]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
15.3355333511,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[21.045774234425885, 3363.3419321351189, 2739.4306805530214, 355.62271007327661, 156.18769218418097, 9.5300407368770106, 268.57105799056978, 1826.926700988291, 15.33553335107414]",175,"[176.0, 196.0, 195.0, 194.0, 174.0, 154.0, 155.0, 156.0, 175.0]","[0.123390866585354, 19.719192604003165, 16.061215988481994, 2.0850073693936846, 0.91572467108613109, 0.05587439891821392, 1.5746256334439763, 10.711227171396892, 0.089911862051733918]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
21.0457742344,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[95.961505515929204, 114.17631834085421, 3363.3419321351189, 2739.4306805530214, 15.33553335107414, 268.57105799056978, 1826.926700988291, 134.43147894198646, 21.045774234425885]",176,"[177.0, 197.0, 196.0, 195.0, 175.0, 155.0, 156.0, 157.0, 176.0]","[0.56261999166925603, 0.66941299981058022, 19.719192604003165, 16.061215988481994, 0.089911862051733918, 1.5746256334439763, 10.711227171396892, 0.78816851773830587, 0.123390866585354]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
95.9615055159,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[3389.5770873411511, 67.089510990579001, 114.17631834085421, 3363.3419321351189, 21.045774234425885, 1826.926700988291, 134.43147894198646, 487.15712431742912, 95.961505515929204]",177,"[178.0, 198.0, 197.0, 196.0, 176.0, 156.0, 157.0, 158.0, 177.0]","[19.873008686025859, 0.39334418433387702, 0.66941299981058022, 19.719192604003165, 0.123390866585354, 10.711227171396892, 0.78816851773830587, 2.8561904667032745, 0.56261999166925603]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
3389.57708734,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[524.70677090442973, 559.0375030089632, 67.089510990579001, 114.17631834085421, 95.961505515929204, 134.43147894198646, 487.15712431742912, 2266.7706737482008, 3389.5770873411511]",178,"[179.0, 199.0, 198.0, 197.0, 177.0, 157.0, 158.0, 159.0, 178.0]","[3.0763431387187725, 3.2776233927832092, 0.39334418433387702, 0.66941299981058022, 0.56261999166925603, 0.78816851773830587, 2.8561904667032745, 13.290021771997178, 19.873008686025859]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
524.706770904,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[380.81814921064728, 0.71216282935933151, 559.0375030089632, 67.089510990579001, 3389.5770873411511, 487.15712431742912, 2266.7706737482008, 1927.001617792158, 524.70677090442973]",179,"[180.0, 200.0, 199.0, 198.0, 178.0, 158.0, 159.0, 160.0, 179.0]","[2.2327276211900435, 0.0041753934868684417, 3.2776233927832092, 0.39334418433387702, 19.873008686025859, 2.8561904667032745, 13.290021771997178, 11.297963994207022, 3.0763431387187725]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
380.818149211,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[301.65227617190226, 0.0035696434598399282, 0.71216282935933151, 559.0375030089632, 524.70677090442973, 2266.7706737482008, 1927.001617792158, 1268.7194759446872, 380.81814921064728]",180,"[181.0, 201.0, 200.0, 199.0, 179.0, 159.0, 160.0, 161.0, 180.0]","[1.7685800175225022, 2.092873348369859e-05, 0.0041753934868684417, 3.2776233927832092, 3.0763431387187725, 13.290021771997178, 11.297963994207022, 7.4384716782932694, 2.2327276211900435]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
