,actions,next_state,start,positions,rewards,possibility
31.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[410.0, 480.0, 372.0, 61.0, 124.0, 1576.0, 1469.0, 5491.0, 31.0]",43,"[44.0, 52.0, 51.0, 50.0, 42.0, 35.0, 36.0, 37.0, 43.0]","[0.61089539384873037, 0.71519460743265995, 0.55427582076031146, 0.090889314694567208, 0.18475860692010382, 2.3482222944039002, 2.1887934964970364, 8.1815283112765336, 0.046189651730025955]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
410.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[410.0, 410.0, 480.0, 372.0, 31.0, 1469.0, 5491.0, 410.0, 410.0]",44,"[44.0, 44.0, 52.0, 51.0, 43.0, 36.0, 37.0, 44.0, 44.0]","[-100.0, -100.0, 0.71519460743265995, 0.55427582076031146, 0.046189651730025955, 2.1887934964970364, 8.1815283112765336, -100.0, 0.61089539384873037]","[-1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0]"
1468.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[1519.0, 3761.0, 954.0, 1468.0, 1468.0, 1468.0, 1468.0, 443.0, 1468.0]",45,"[46.0, 54.0, 53.0, 45.0, 45.0, 45.0, 45.0, 38.0, 45.0]","[2.2632929347712718, 5.6038477469879879, 1.4214492822724116, -100.0, -100.0, -100.0, -100.0, 0.6600650231097257, 2.1873035077315519]","[1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0]"
1519.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[4946.0, 69.0, 3761.0, 954.0, 1468.0, 1519.0, 443.0, 545.0, 1519.0]",46,"[47.0, 55.0, 54.0, 53.0, 45.0, 46.0, 38.0, 39.0, 46.0]","[7.3694844340873669, 0.10280922481844487, 5.6038477469879879, 1.4214492822724116, 2.1873035077315519, -100.0, 0.6600650231097257, 0.81204387718916604, 2.2632929347712718]","[1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0]"
4946.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[807.0, 1390.0, 69.0, 3761.0, 1519.0, 443.0, 545.0, 0.0, 4946.0]",47,"[48.0, 56.0, 55.0, 54.0, 46.0, 38.0, 39.0, 40.0, 47.0]","[1.2024209337461595, 2.0710843840237443, 0.10280922481844487, 5.6038477469879879, 2.2632929347712718, 0.6600650231097257, 0.81204387718916604, 0.0, 7.3694844340873669]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
807.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[1153.0, 732.0, 1390.0, 69.0, 4946.0, 545.0, 0.0, 1285.0, 807.0]",48,"[49.0, 57.0, 56.0, 55.0, 47.0, 39.0, 40.0, 41.0, 48.0]","[1.7179570466038685, 1.0906717763348064, 2.0710843840237443, 0.10280922481844487, 7.3694844340873669, 0.81204387718916604, 0.0, 1.91463556364785, 1.2024209337461595]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
1153.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[61.0, 49.0, 732.0, 1390.0, 807.0, 0.0, 1285.0, 124.0, 1153.0]",49,"[50.0, 58.0, 57.0, 56.0, 48.0, 40.0, 41.0, 42.0, 49.0]","[0.090889314694567208, 0.073009449508750698, 1.0906717763348064, 2.0710843840237443, 1.2024209337461595, 0.0, 1.91463556364785, 0.18475860692010382, 1.7179570466038685]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
61.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[372.0, 11.0, 49.0, 732.0, 1153.0, 1285.0, 124.0, 31.0, 61.0]",50,"[51.0, 59.0, 58.0, 57.0, 49.0, 41.0, 42.0, 43.0, 50.0]","[0.55427582076031146, 0.016389876420331791, 0.073009449508750698, 1.0906717763348064, 1.7179570466038685, 1.91463556364785, 0.18475860692010382, 0.046189651730025955, 0.090889314694567208]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
372.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[480.0, 2164.0, 11.0, 49.0, 61.0, 124.0, 31.0, 410.0, 372.0]",51,"[52.0, 60.0, 59.0, 58.0, 50.0, 42.0, 43.0, 44.0, 51.0]","[0.71519460743265995, 3.2243356885089085, 0.016389876420331791, 0.073009449508750698, 0.090889314694567208, 0.18475860692010382, 0.046189651730025955, 0.61089539384873037, 0.55427582076031146]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
480.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[480.0, 480.0, 2164.0, 11.0, 372.0, 31.0, 410.0, 480.0, 480.0]",52,"[52.0, 52.0, 60.0, 59.0, 51.0, 43.0, 44.0, 52.0, 52.0]","[-100.0, -100.0, 3.2243356885089085, 0.016389876420331791, 0.55427582076031146, 0.046189651730025955, 0.61089539384873037, -100.0, 0.71519460743265995]","[-1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0]"
