,actions,next_state,start,positions,rewards,possibility
1576.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[1469.0, 31.0, 124.0, 1285.0, 839.0, 652.0, 464.0, 711.0, 1576.0]",35,"[36.0, 43.0, 42.0, 41.0, 34.0, 24.0, 25.0, 26.0, 35.0]","[6.4566461920511609, 0.13625325524410209, 0.54501302097640836, 5.6479171931829422, 3.6876284241871504, 2.8657136264243408, 2.0394035623633346, 3.1250343380179548, 6.9269396859582226]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
1469.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[5491.0, 410.0, 31.0, 124.0, 1576.0, 464.0, 711.0, 9717.0, 1469.0]",36,"[37.0, 44.0, 43.0, 42.0, 35.0, 25.0, 26.0, 27.0, 36.0]","[24.134407243398858, 1.8020591822607053, 0.13625325524410209, 0.54501302097640836, 6.9269396859582226, 2.0394035623633346, 3.1250343380179548, 42.708802619578712, 6.4566461920511609]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
5491.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[5491.0, 5491.0, 410.0, 31.0, 1469.0, 711.0, 9717.0, 0.0, 5491.0]",37,"[37.0, 37.0, 44.0, 43.0, 36.0, 26.0, 27.0, 28.0, 37.0]","[-100.0, -100.0, 1.8020591822607053, 0.13625325524410209, 6.4566461920511609, 3.1250343380179548, 42.708802619578712, 0.0, 24.134407243398858]","[-1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
443.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[545.0, 4946.0, 1519.0, 1468.0, 443.0, 2492.0, 1473.0, 3724.0, 443.0]",38,"[39.0, 47.0, 46.0, 45.0, 38.0, 30.0, 31.0, 32.0, 38.0]","[2.395420132517279, 21.738987110881581, 6.6764095069610034, 6.4522509257529643, -100.0, 10.95300361510653, 6.4742272572439479, 16.367971694485039, 1.947102970101201]","[1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0]"
545.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[0.0, 807.0, 4946.0, 1519.0, 443.0, 1473.0, 3724.0, 7058.0, 545.0]",39,"[40.0, 48.0, 47.0, 46.0, 38.0, 31.0, 32.0, 33.0, 39.0]","[0.0, 3.5469799026448516, 21.738987110881581, 6.6764095069610034, 1.947102970101201, 6.4742272572439479, 16.367971694485039, 31.02178953267331, 2.395420132517279]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
0.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[1285.0, 1153.0, 807.0, 4946.0, 545.0, 3724.0, 7058.0, 839.0, 0.0]",40,"[41.0, 49.0, 48.0, 47.0, 39.0, 32.0, 33.0, 34.0, 40.0]","[5.6479171931829422, 5.0677420418209591, 3.5469799026448516, 21.738987110881581, 2.395420132517279, 16.367971694485039, 31.02178953267331, 3.6876284241871504, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
1285.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[124.0, 61.0, 1153.0, 807.0, 0.0, 7058.0, 839.0, 1576.0, 1285.0]",41,"[42.0, 50.0, 49.0, 48.0, 40.0, 33.0, 34.0, 35.0, 41.0]","[0.54501302097640836, 0.26811124419000737, 5.0677420418209591, 3.5469799026448516, 0.0, 31.02178953267331, 3.6876284241871504, 6.9269396859582226, 5.6479171931829422]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
124.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[31.0, 372.0, 61.0, 1153.0, 1285.0, 839.0, 1576.0, 1469.0, 124.0]",42,"[43.0, 51.0, 50.0, 49.0, 41.0, 34.0, 35.0, 36.0, 42.0]","[0.13625325524410209, 1.6350390629292253, 0.26811124419000737, 5.0677420418209591, 5.6479171931829422, 3.6876284241871504, 6.9269396859582226, 6.4566461920511609, 0.54501302097640836]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
31.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[410.0, 480.0, 372.0, 61.0, 124.0, 1576.0, 1469.0, 5491.0, 31.0]",43,"[44.0, 52.0, 51.0, 50.0, 42.0, 35.0, 36.0, 37.0, 43.0]","[1.8020591822607053, 2.109727823134484, 1.6350390629292253, 0.26811124419000737, 0.54501302097640836, 6.9269396859582226, 6.4566461920511609, 24.134407243398858, 0.13625325524410209]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
410.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[410.0, 410.0, 480.0, 372.0, 31.0, 1469.0, 5491.0, 410.0, 410.0]",44,"[44.0, 44.0, 52.0, 51.0, 43.0, 36.0, 37.0, 44.0, 44.0]","[-100.0, -100.0, 2.109727823134484, 1.6350390629292253, 0.13625325524410209, 6.4566461920511609, 24.134407243398858, -100.0, 1.8020591822607053]","[-1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0]"
1468.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[1519.0, 3761.0, 954.0, 1468.0, 1468.0, 1468.0, 1468.0, 443.0, 1468.0]",45,"[46.0, 54.0, 53.0, 45.0, 45.0, 45.0, 45.0, 38.0, 45.0]","[6.6764095069610034, 16.530596547518321, 4.1930840484797871, -100.0, -100.0, -100.0, -100.0, 1.947102970101201, 6.4522509257529643]","[1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0]"
1519.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[4946.0, 69.0, 3761.0, 954.0, 1468.0, 1519.0, 443.0, 545.0, 1519.0]",46,"[47.0, 55.0, 54.0, 53.0, 45.0, 46.0, 38.0, 39.0, 46.0]","[21.738987110881581, 0.30327337457558212, 16.530596547518321, 4.1930840484797871, 6.4522509257529643, -100.0, 1.947102970101201, 2.395420132517279, 6.6764095069610034]","[1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0]"
4946.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[807.0, 1390.0, 69.0, 3761.0, 1519.0, 443.0, 545.0, 0.0, 4946.0]",47,"[48.0, 56.0, 55.0, 54.0, 46.0, 38.0, 39.0, 40.0, 47.0]","[3.5469799026448516, 6.10942015449361, 0.30327337457558212, 16.530596547518321, 6.6764095069610034, 1.947102970101201, 2.395420132517279, 0.0, 21.738987110881581]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
807.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[1153.0, 732.0, 1390.0, 69.0, 4946.0, 545.0, 0.0, 1285.0, 807.0]",48,"[49.0, 57.0, 56.0, 55.0, 47.0, 39.0, 40.0, 41.0, 48.0]","[5.0677420418209591, 3.2173349302800882, 6.10942015449361, 0.30327337457558212, 21.738987110881581, 2.395420132517279, 0.0, 5.6479171931829422, 3.5469799026448516]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
1153.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[61.0, 49.0, 732.0, 1390.0, 807.0, 0.0, 1285.0, 124.0, 1153.0]",49,"[50.0, 58.0, 57.0, 56.0, 48.0, 40.0, 41.0, 42.0, 49.0]","[0.26811124419000737, 0.21536804861164527, 3.2173349302800882, 6.10942015449361, 3.5469799026448516, 0.0, 5.6479171931829422, 0.54501302097640836, 5.0677420418209591]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
61.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[372.0, 11.0, 49.0, 732.0, 1153.0, 1285.0, 124.0, 31.0, 61.0]",50,"[51.0, 59.0, 58.0, 57.0, 49.0, 41.0, 42.0, 43.0, 50.0]","[1.6350390629292253, 0.048347929280165264, 0.21536804861164527, 3.2173349302800882, 5.0677420418209591, 5.6479171931829422, 0.54501302097640836, 0.13625325524410209, 0.26811124419000737]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
